"","web.scraper.start.url","Seat","Party","Candidate","Share","Count.1","Count.2","Count.3","Count.4","Count.5","Count.6","Count.7","Count.8","Count.9","Count.10","Count.11","Count.12","Count.13","Count.14","Count.15","Constituency","n","total_const_vote","seats","Quota","Total_Transfers","FP_Quota_pct","Trans_Quota_pct","Elected","First_Name","gender","proportion_male","proportion_female"
"1","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",1,"SF","Kathleen Funchion (SF)","23.8%",17493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,0,1.42520775623269,0,1,"Kathleen","female",0.02,0.98
"2","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",5,"GP","Malcolm Noonan (GP)","6.7%",4942,562,143,560,871,235,2095,483,440,212,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,5601,0.402639726250611,0.456330454619521,1,"Malcolm","male",0.99,0.01
"3","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",0,"FG","Pat Deering (FG)","8.1%",5929,108,100,186,97,575,148,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,1214,0.483053609255336,0.098908261365488,0,"Pat","male",0.67,0.33
"4","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",0,"REN","Helena Byrne (REN)","1.3%",992,172,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,172,0.0808212481668568,0.0140133615773179,0,"Helena","female",NA,NA
"5","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",0,"FF","Bobby Aylward (FF)","10.3%",7550,241,129,204,284,234,177,355,458,353,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,2435,0.615121394818315,0.19838683395796,0,"Bobby","male",0.96,0.04
"6","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",0,"FG","Patrick O'Neill (FG)","5.0%",3674,49,53,167,243,0,0,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,512,0.299331921134105,0.0417141926022487,0,"Patrick","male",0.99,0.01
"7","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",0,"LAB","Denis Hynes (LAB)","3.0%",2208,402,102,0,0,0,0,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,504,0.179892455597197,0.0410624083428385,0,"Denis","male",0.96,0.04
"8","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",0,"IND","Alan Hayes (IND)","3.2%",2347,604,432,327,0,0,0,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,1363,0.191217207104448,0.111047743197002,0,"Alan","male",0.99,0.01
"9","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",3,"FG","John Paul Phelan (FG)","8.7%",6396,102,49,205,223,2454,119,3624,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,6776,0.521101515398403,0.552061267720385,1,"John","male",0.99,0.01
"10","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",0,"IND","Angela Ray (IND)","0.3%",214,117,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,117,0.0174352289392211,0.00953234479387323,0,"Angela","female",NA,NA
"11","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",0,"IFP","Melissa O'Neill (IFP)","0.6%",431,235,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,235,0.035114876975721,0.0191461626201727,0,"Melissa","female",NA,NA
"12","https://irelandelection.com/electiondetail.php?elecid=238&constitid=1&electype=1",2,"FF","John McGuinness (FF)","14.3%",10558,463,277,324,579,411,0,0,0,0,0,0,0,0,0,"Carlow–Kilkenny",14,73643,5,12274,2054,0.860192276356526,0.167345608603552,1,"John","male",0.99,0.01
