Constituency,FP_Share,FP_Share_Plus_Polls_Recent,Non-FFG_candidate_per_seat,FFG_incumbent_pct_of_seat,FFG_female_pct,Count_of_Candidate,Incumbent_Count,Count_Seats,Female_pct,Catholic_pct,Irish_over3_pct,Irish_Daily_And_In_Educ_pct,Two_person_household_ppl_pct,Age_15plus_unemployed,Degree_or_higher_pct,Over_65_pct,UK_birth_pct,Wh_irish_trv,divorced_pct,Ireland_birth_pct,Irish_Daily_Outside_Educ_pct,Two_person_household_hou_pct,Apartment_household_hou_pct,Apartment_household_pp_pct,Rental_private_hou_pct,Rental_private_household_pp_pct,Ord_Degree_or_higher_pct,Over_35_pct,Wh_irish,socio_A_B_pct,FP_Share_Plus_Polls_1Mo,FP_Share_Plus_Polls_3Mo
Carlow–Kilkenny,0.678,0.627,1.8,0.8,0.166666667,6,4,5,0.500537376,0.836367473,0.394265085,0.003252536,0.237677823,0.077590068,0.169040098,0.137,0.049672271,0.007094136,0.021679645,0.864678532,0.006635723,0.383692022,0.049895934,0.033617826,0.14511588,0.139921198,0.239566828,0.538,0.862680184,0.063031753,0.634816441,0.618816441
Cavan–Monaghan,0.619,0.551,2.5,0.75,0.4,5,3,4,0.498440665,0.830916632,0.359363958,0.003188625,0.219462624,0.079920436,0.134520869,0.135,0.086633543,0.005926575,0.021581519,0.807702924,0.005838802,0.366335709,0.043022778,0.028292659,0.15372813,0.15163566,0.19922411,0.525,0.843164954,0.052939607,0.558709786,0.542709786
Clare,0.566,0.598,2.5,0.75,0.333333333,6,3,4,0.505189545,0.828013792,0.45885397,0.003894992,0.246314092,0.069176922,0.180215502,0.15,0.066583403,0.008127212,0.022752453,0.843229888,0.009382971,0.396658923,0.054657336,0.038879926,0.147434656,0.142894559,0.261359796,0.561,0.850913633,0.066377065,0.606119649,0.590119649
Cork East,0.528,0.489,2.5,0.5,0.2,5,2,4,0.504862924,0.830180599,0.411636219,0.003686501,0.226842196,0.065065521,0.17520582,0.126,0.04770566,0.003621112,0.023701093,0.848129231,0.007234865,0.368877964,0.061398036,0.039916106,0.171222088,0.16254909,0.254647129,0.533,0.837531664,0.066149544,0.497124213,0.481124213
Cork North–Central,0.457,0.367,2.75,0.5,0.333333333,3,2,4,0.503476561,0.784717549,0.397484047,0.003739032,0.262080661,0.067509308,0.198572396,0.131,0.038706512,0.007448592,0.020458842,0.84482237,0.008981986,0.411784299,0.153021832,0.111327361,0.213082326,0.193366849,0.271821763,0.505,0.826989902,0.069599355,0.375221804,0.359221804
Cork North–West,0.668,0.691,3,1,0.25,4,3,3,0.499887741,0.860788056,0.477861163,0.006414165,0.221725825,0.047642443,0.193013354,0.139,0.047492032,0.003379371,0.017849124,0.874703316,0.015325985,0.3661095,0.037545057,0.026349941,0.125839463,0.12263394,0.272865619,0.546,0.876150003,0.067212097,0.698613555,0.682613555
Cork South–Central,0.673,0.581,2.75,1,0,4,4,4,0.513446953,0.767265854,0.436273258,0.00391536,0.256204689,0.051225959,0.281682628,0.13,0.044305576,0.002793896,0.0227375,0.835424623,0.008852119,0.403748846,0.107790822,0.077957408,0.221950297,0.219592379,0.36974644,0.522,0.831564417,0.095803869,0.588723673,0.572723673
Cork South–West,0.515,0.675,2.67,0.67,0.333333333,3,2,3,0.501184029,0.767836628,0.446566654,0.003610196,0.239050737,0.048264359,0.192882088,0.163,0.086377705,0.001983771,0.026259642,0.820898911,0.008757166,0.390777254,0.046663032,0.028784686,0.165619664,0.151314062,0.274889002,0.574,0.832837391,0.072640263,0.683247904,0.667247904
Donegal,0.464,0.409,2.4,0.4,0,4,2,5,0.50342168,0.820313693,0.371884953,0.011897113,0.238562246,0.094025256,0.149295262,0.156,0.163833285,0.003504238,0.021180562,0.788615961,0.042379146,0.389904958,0.036023472,0.021320874,0.126783086,0.117428168,0.213101152,0.551,0.895522287,0.05512144,0.416558673,0.400558673
Dublin Bay North,0.352,0.41,3,0.2,0.6,5,1,5,0.518533048,0.759459406,0.353983743,0.004685558,0.279725213,0.05870782,0.239364492,0.169,0.041627597,0.003935604,0.021727049,0.857664523,0.009764975,0.430442827,0.163122355,0.12527387,0.159359677,0.163575577,0.31034417,0.555,0.851054557,0.093148642,0.417940789,0.401940789
