Election_Period,Constituency,Cand_FP_Share_All Others,Cand_FP_Share_FF,Cand_FP_Share_FG,Cand_FP_Share_GP-LAB-SD,Cand_FP_Share_SF,incumbent_pct_All_Others,incumbent_pct_FF,incumbent_pct_FG,incumbent_pct_GP_LAB_SD,incumbent_pct_SF,candidates_per_seat_All_Others,candidates_per_seat_FF,candidates_per_seat_FG,candidates_per_seat_GP_LAB_SD,candidates_per_seat_SF,female_pct_All_Others,female_pct_FF,female_pct_FG,female_pct_GP_LAB_SD,female_pct_SF,Catholic_pct,Irish_over3_pct,Irish_Daily_And_In_Educ_pct,Two_person_household_ppl_pct,UK_birth_pct,Wh_irish_trv,pct_share_party_prior_election_All_Others,pct_share_party_prior_election_FF,pct_share_party_prior_election_FG,pct_share_party_prior_election_GP_LAB_SD,pct_share_party_prior_election_SF
Election_2016,Carlow–Kilkenny,0.098,0.404,0.274,0.1,0.124,0,0.666666667,0.666666667,0.5,0,1.2,0.6,0.6,0.4,0.2,0.166666667,0.333333333,0,0.5,1,0.836367473,0.394265085,0.003252536,0.237677823,0.049672271,0.862680184,0.0963,0.3076,0.319,0.1045,0.1706
Election_2016,Cavan–Monaghan,0.09,0.3,0.318,0.021,0.271,0.142857143,0.333333333,1,0,0,1.4,0.6,0.4,0.2,0.4,0.285714286,0.333333333,0.5,0,1,0.830916632,0.359363958,0.003188625,0.219462624,0.086633543,0.843164954,0.1373,0.2276,0.322,0,0.3346
Election_2016,Clare,0.25,0.31,0.258,0.108,0.074,0,0.333333333,0.666666667,0.5,0,1.4,0.6,0.6,0.4,0.2,0.285714286,0.333333333,0.333333333,0,1,0.828013792,0.45885397,0.003894992,0.246314092,0.066583403,0.850913633,0.2433,0.2476,0.35,0.0825,0.0756
Election_2016,Cork East,0.198,0.243,0.285,0.173,0.101,0,0,0.666666667,0.333333333,0,1.2,0.4,0.6,0.6,0.2,0.333333333,0.5,0,0.333333333,0,0.830180599,0.411636219,0.003686501,0.226842196,0.04770566,0.837531664,0.0913,0.1956,0.293,0.2335,0.1866
Election_2016,Cork North–Central,0.242,0.278,0.178,0.106,0.196,0,1,0.5,0.5,0.5,1.4,0.2,0.4,0.4,0.4,0,0,0.5,0.5,0,0.784717549,0.397484047,0.003739032,0.262080661,0.038706512,0.826989902,0.2153,0.1776,0.19,0.1885,0.2276
Election_2016,Cork North–West,0.234,0.346,0.322,0.029,0.069,0,0.5,1,0,0,1.4,0.4,0.4,0.2,0.2,0.142857143,0,0.5,0,0,0.860788056,0.477861163,0.006414165,0.221725825,0.047492032,0.876150003,0.0903,0.2756,0.415,0.0685,0.1496
Election_2016,Cork South–Central,0.12,0.417,0.257,0.08,0.126,0,1,1,0.5,0,1.6,0.4,0.4,0.4,0.2,0.25,0,0,0.5,0,0.767265854,0.436273258,0.00391536,0.256204689,0.044305576,0.831564417,0.1353,0.3066,0.274,0.1255,0.1576
Election_2016,Cork South–West,0.313,0.196,0.319,0.087,0.085,0,0,1,0.5,0,1,0.2,0.4,0.4,0.2,0.6,1,0,0,1,0.767836628,0.446566654,0.003610196,0.239050737,0.086377705,0.832837391,0.1013,0.2626,0.412,0.0745,0.1486
Election_2016,Donegal,0.255,0.31,0.154,0.006,0.275,0.125,0.5,0.5,0,0.333333333,1.6,0.4,0.4,0.2,0.6,0.25,0,0,1,0,0.820313693,0.371884953,0.011897113,0.238562246,0.163833285,0.895522287,0.2228,0.2281,0.1845,0.0025,0.3631
Election_2016,Dublin Bay North,0.389,0.155,0.197,0.143,0.116,0.4,0,0.333333333,0,0,2,0.4,0.6,0.6,0.4,0.1,0.5,0.666666667,0.333333333,0.5,0.759459406,0.353983743,0.004685558,0.279725213,0.041627597,0.851054557,0.2098,0.1486,0.2635,0.2145,0.1636
Election_2016,Dublin Bay South,0.202,0.115,0.301,0.287,0.095,0.142857143,0,0.5,0.333333333,0,1.4,0.2,0.4,0.6,0.2,0.285714286,0,0.5,0.333333333,0,0.555943421,0.327062499,0.003124098,0.389249727,0.058656333,0.696699533,0.2333,0.1386,0.283,0.2365,0.1116
Election_2016,Dublin Central,0.301,0.106,0.136,0.212,0.245,0.111111111,0,1,0.333333333,1,1.8,0.2,0.2,0.6,0.2,0.666666667,1,0,0,1,0.536243471,0.205829131,0.002548371,0.418067522,0.037464072,0.55678527,0.2753,0.1746,0.126,0.2175,0.2066
Election_2016,Dublin Fingal,0.331,0.235,0.201,0.146,0.087,0.125,0,1,0.5,0,1.6,0.4,0.4,0.4,0.2,0.25,0.5,0,0,1,0.737898294,0.372585287,0.004458462,0.21368923,0.047434547,0.774350801,0.2393,0.1806,0.241,0.2635,0.0756
Election_2016,Dublin Mid–West,0.228,0.162,0.263,0.12,0.227,0,0,1,0.333333333,0,1.6,0.2,0.4,0.6,0.2,0.25,0,0.5,0.666666667,0,0.720324473,0.328901909,0.00596595,0.210375182,0.0315257,0.723359197,0.1693,0.1446,0.236,0.2565,0.1936
