"","cycle","Party","Poll_Avg_Recent","Poll_Avg_1mo","Poll_Avg_3mo"
"1","2011-2016","FF",20.1052631578947,20.6,19.915
"2","2011-2016","FG",28.7894736842105,29.1,28.19625
"3","2011-2016","GP",2.47368421052632,2,1.52375
"4","2011-2016","LAB",7.52631578947368,7.4,7.67875
"5","2011-2016","OTH_IND",16.2631578947368,15.9,18.1425
"6","2011-2016","RENUA",1.52631578947368,1.3,1.44875
"7","2011-2016","SD",2.52631578947368,1.5,1.18875
"8","2011-2016","SF",17.5263157894737,18.7,18.905
"9","2011-2016","SPBP",3.26315789473684,3.5,3
"10","2016-2020","FF",25.5454545454545,25.4285714285714,26.8
"11","2016-2020","FG",23.6363636363636,28.8571428571429,29
"12","2016-2020","GP",7.63636363636364,6.71428571428571,6.6
"13","2016-2020","LAB",5.09090909090909,5.42857142857143,4.8
"14","2016-2020","OTH_IND",14,14.8571428571429,15.4
"15","2016-2020","RENUA",0.0909090909090909,0,0.2
"16","2016-2020","SD",2.45454545454545,1.71428571428571,1.2
"17","2016-2020","SF",19.2727272727273,14.8571428571429,14.6
"18","2016-2020","SPBP",2.27272727272727,2.14285714285714,1.4
