Election,Constituency,Multi-party,FP_Share_Plus_Polls_Recent
Election_2016,Carlow-Kilkenny,All Others,0.0963
Election_2016,Carlow-Kilkenny,FF,0.3076
Election_2016,Carlow-Kilkenny,FG,0.319
Election_2016,Carlow-Kilkenny,Left,0.1045
Election_2016,Carlow-Kilkenny,SF,0.1706
Election_2016,Cavan-Monaghan,All Others,0.1373
Election_2016,Cavan-Monaghan,FF,0.2276
Election_2016,Cavan-Monaghan,FG,0.322
Election_2016,Cavan-Monaghan,Left,0
Election_2016,Cavan-Monaghan,SF,0.3346
Election_2016,Clare,All Others,0.2433
Election_2016,Clare,FF,0.2476
Election_2016,Clare,FG,0.35
Election_2016,Clare,Left,0.0825
Election_2016,Clare,SF,0.0756
Election_2016,Cork East,All Others,0.0913
Election_2016,Cork East,FF,0.1956
Election_2016,Cork East,FG,0.293
Election_2016,Cork East,Left,0.2335
Election_2016,Cork East,SF,0.1866
Election_2016,Cork North-Central,All Others,0.2153
Election_2016,Cork North-Central,FF,0.1776
Election_2016,Cork North-Central,FG,0.19
Election_2016,Cork North-Central,Left,0.1885
Election_2016,Cork North-Central,SF,0.2276
Election_2016,Cork North-West,All Others,0.0903
Election_2016,Cork North-West,FF,0.2756
Election_2016,Cork North-West,FG,0.415
Election_2016,Cork North-West,Left,0.0685
Election_2016,Cork North-West,SF,0.1496
Election_2016,Cork South-Central,All Others,0.1353
Election_2016,Cork South-Central,FF,0.3066
Election_2016,Cork South-Central,FG,0.274
Election_2016,Cork South-Central,Left,0.1255
Election_2016,Cork South-Central,SF,0.1576
Election_2016,Cork South-West,All Others,0.1013
Election_2016,Cork South-West,FF,0.2626
Election_2016,Cork South-West,FG,0.412
Election_2016,Cork South-West,Left,0.0745
Election_2016,Cork South-West,SF,0.1486
Election_2016,Donegal<,All Others,0.2228
Election_2016,Donegal<,FF,0.2281
Election_2016,Donegal<,FG,0.1845
Election_2016,Donegal<,Left,0.0025
Election_2016,Donegal<,SF,0.3631
Election_2016,Dublin Bay North,All Others,0.2098
Election_2016,Dublin Bay North,FF,0.1486
Election_2016,Dublin Bay North,FG,0.2635
Election_2016,Dublin Bay North,Left,0.2145
Election_2016,Dublin Bay North,SF,0.1636
Election_2016,Dublin Bay South,All Others,0.2333
Election_2016,Dublin Bay South,FF,0.1386
Election_2016,Dublin Bay South,FG,0.283
Election_2016,Dublin Bay South,Left,0.2365
Election_2016,Dublin Bay South,SF,0.1116
Election_2016,Dublin Central,All Others,0.2753
Election_2016,Dublin Central,FF,0.1746
Election_2016,Dublin Central,FG,0.126
Election_2016,Dublin Central,Left,0.2175
Election_2016,Dublin Central,SF,0.2066
Election_2016,Dublin Fingal,All Others,0.2393
Election_2016,Dublin Fingal,FF,0.1806
Election_2016,Dublin Fingal,FG,0.241
Election_2016,Dublin Fingal,Left,0.2635
Election_2016,Dublin Fingal,SF,0.0756
Election_2016,Dublin Mid-West,All Others,0.1693
Election_2016,Dublin Mid-West,FF,0.1446
Election_2016,Dublin Mid-West,FG,0.236
Election_2016,Dublin Mid-West,Left,0.2565
Election_2016,Dublin Mid-West,SF,0.1936
Election_2016,Dublin North-West,All Others,0.1133
Election_2016,Dublin North-West,FF,0.1446
Election_2016,Dublin North-West,FG,0.094
Election_2016,Dublin North-West,Left,0.3555
Election_2016,Dublin North-West,SF,0.2926
Election_2016,Dublin Rathdown,All Others,0.3253
Election_2016,Dublin Rathdown,FF,0.1206
Election_2016,Dublin Rathdown,FG,0.291
Election_2016,Dublin Rathdown,Left,0.1615
Election_2016,Dublin Rathdown,SF,0.1016
Election_2016,Dublin South-Central,All Others,0.2193
Election_2016,Dublin South-Central,FF,0.1216
Election_2016,Dublin South-Central,FG,0.161
Election_2016,Dublin South-Central,Left,0.2885
Election_2016,Dublin South-Central,SF,0.2096
Election_2016,Dublin South-West,All Others,0.1263
Election_2016,Dublin South-West,FF,0.1346
Election_2016,Dublin South-West,FG,0.204
Election_2016,Dublin South-West,Left,0.2875
Election_2016,Dublin South-West,SF,0.2476
Election_2016,Dublin West,All Others,0.2533
Election_2016,Dublin West,FF,0.1926
Election_2016,Dublin West,FG,0.199
Election_2016,Dublin West,Left,0.2185
Election_2016,Dublin West,SF,0.1366
Election_2016,Dún Laoghaire,All Others,0.2163
Election_2016,Dún Laoghaire,FF,0.1786
Election_2016,Dún Laoghaire,FG,0.272
Election_2016,Dún Laoghaire,Left,0.2555
Election_2016,Dún Laoghaire,SF,0.0756
Election_2016,Galway East,All Others,0.2473
Election_2016,Galway East,FF,0.2066
Election_2016,Galway East,FG,0.355
Election_2016,Galway East,Left,0.0535
Election_2016,Galway East,SF,0.1366
Election_2016,Galway West,All Others,0.3343
Election_2016,Galway West,FF,0.2366
Election_2016,Galway West,FG,0.233
Election_2016,Galway West,Left,0.0565
Election_2016,Galway West,SF,0.1386
Election_2016,Kerry,All Others,0.5443
Election_2016,Kerry,FF,0.2746
Election_2016,Kerry,FG,0.661
Election_2016,Kerry,Left,0.2405
Election_2016,Kerry,SF,0.2786
Election_2016,Kildare North,All Others,0.2113
Election_2016,Kildare North,FF,0.1716
Election_2016,Kildare North,FG,0.26
Election_2016,Kildare North,Left,0.2255
Election_2016,Kildare North,SF,0.1326
Election_2016,Kildare South,All Others,0.1533
Election_2016,Kildare South,FF,0.2436
Election_2016,Kildare South,FG,0.26
Election_2016,Kildare South,Left,0.2065
Election_2016,Kildare South,SF,0.1356
Election_2016,Laois,FF,0.2936
Election_2016,Laois,FG,0.264
Election_2016,Laois,Left,0
Election_2016,Laois,SF,0.1836
Election_2016,Limerick City,All Others,0.1083
Election_2016,Limerick City,FF,0.2406
Election_2016,Limerick City,FG,0.36
Election_2016,Limerick City,Left,0.1285
Election_2016,Limerick City,SF,0.1616
Election_2016,Limerick County,All Others,0.1783
Election_2016,Limerick County,FF,0.2346
Election_2016,Limerick County,FG,0.414
Election_2016,Limerick County,Left,0.0985
Election_2016,Limerick County,SF,0.0756
Election_2016,Longford-Westmeath,All Others,0.1333
Election_2016,Longford-Westmeath,FF,0.2206
Election_2016,Longford-Westmeath,FG,0.308
Election_2016,Longford-Westmeath,Left,0.1865
Election_2016,Longford-Westmeath,SF,0.1506
Election_2016,Louth,All Others,0.1293
Election_2016,Louth,FF,0.1836
Election_2016,Louth,FG,0.242
Election_2016,Louth,Left,0.1535
Election_2016,Louth,SF,0.2926
Election_2016,Mayo,All Others,0.1283
Election_2016,Mayo,FF,0.1876
Election_2016,Mayo,FG,0.577
Election_2016,Mayo,SF,0.1406
Election_2016,Meath East,All Others,0.1413
Election_2016,Meath East,FF,0.2226
Election_2016,Meath East,FG,0.336
Election_2016,Meath East,Left,0.1355
Election_2016,Meath East,SF,0.1646
Election_2016,Meath West,All Others,0.0953
Election_2016,Meath West,FF,0.2076
Election_2016,Meath West,FG,0.386
Election_2016,Meath West,Left,0.0615
Election_2016,Meath West,SF,0.2496
Election_2016,Offaly,All Others,0.4213
Election_2016,Offaly,FF,0.3846
Election_2016,Offaly,FG,0.082
Election_2016,Offaly,Left,0
Election_2016,Offaly,SF,0.1846
Election_2016,Roscommon-Galway,All Others,0.3253
Election_2016,Roscommon-Galway,FF,0.1766
Election_2016,Roscommon-Galway,FG,0.312
Election_2016,Roscommon-Galway,Left,0.0135
Election_2016,Roscommon-Galway,SF,0.1736
Election_2016,Sligo-Leitrim,All Others,0.2233
Election_2016,Sligo-Leitrim,FF,0.2446
Election_2016,Sligo-Leitrim,FG,0.296
Election_2016,Sligo-Leitrim,Left,0.0265
Election_2016,Sligo-Leitrim,SF,0.2086
Election_2016,Tipperary,All Others,0.4008
Election_2016,Tipperary,FF,0.1746
Election_2016,Tipperary,FG,0.2185
Election_2016,Tipperary,Left,0.0765
Election_2016,Tipperary,SF,0.1296
Election_2016,Waterford,All Others,0.2373
Election_2016,Waterford,FF,0.1666
Election_2016,Waterford,FG,0.308
Election_2016,Waterford,Left,0.1125
Election_2016,Waterford,SF,0.1746
Election_2016,Wexford,All Others,0.2583
Election_2016,Wexford,FF,0.2116
Election_2016,Wexford,FG,0.271
Election_2016,Wexford,Left,0.1245
Election_2016,Wexford,SF,0.1336
Election_2016,Wicklow,All Others,0.2683
Election_2016,Wicklow,FF,0.1326
Election_2016,Wicklow,FG,0.323
Election_2016,Wicklow,Left,0.1015
Election_2016,Wicklow,SF,0.1766
Election_2020,Carlow-Kilkenny,All Others,0.1543
Election_2020,Carlow-Kilkenny,FF,0.4306
Election_2020,Carlow-Kilkenny,FG,0.201
Election_2020,Carlow-Kilkenny,Left,0.0145
Election_2020,Carlow-Kilkenny,SF,0.1996
Election_2020,Cavan-Monaghan,All Others,0.1463
Election_2020,Cavan-Monaghan,FF,0.3276
Election_2020,Cavan-Monaghan,FG,0.245
Election_2020,Cavan-Monaghan,Left,0
Election_2020,Cavan-Monaghan,SF,0.3466
Election_2020,Clare,All Others,0.3063
Election_2020,Clare,FF,0.3346
Election_2020,Clare,FG,0.185
Election_2020,Clare,Left,0.0225
Election_2020,Clare,SF,0.1496
Election_2020,Cork East,All Others,0.2543
Election_2020,Cork East,FF,0.2696
Election_2020,Cork East,FG,0.212
Election_2020,Cork East,Left,0.0875
Election_2020,Cork East,SF,0.1766
Election_2020,Cork North-Central,All Others,0.2983
Election_2020,Cork North-Central,FF,0.3056
Election_2020,Cork North-Central,FG,0.105
Election_2020,Cork North-Central,Left,0.0205
Election_2020,Cork North-Central,SF,0.2716
Election_2020,Cork North-West,All Others,0.2903
Election_2020,Cork North-West,FF,0.3726
Election_2020,Cork North-West,FG,0.249
Election_2020,Cork North-West,Left,0.0125
Election_2020,Cork South-Central,All Others,0.1763
Election_2020,Cork South-Central,FF,0.4426
Election_2020,Cork South-Central,FG,0.184
Election_2020,Cork South-Central,Left,0
Election_2020,Cork South-Central,SF,0.2016
Election_2020,Cork South-West,All Others,0.3693
Election_2020,Cork South-West,FF,0.2226
Election_2020,Cork South-West,FG,0.246
Election_2020,Cork South-West,Left,0.0015
Election_2020,Cork South-West,SF,0.1606
Election_2020,Donegal,All Others,0.3113
Election_2020,Donegal,FF,0.3366
Election_2020,Donegal,FG,0.081
Election_2020,Donegal,Left,0
Election_2020,Donegal,SF,0.3506
Election_2020,Dublin Bay North,All Others,0.4453
Election_2020,Dublin Bay North,FF,0.1816
Election_2020,Dublin Bay North,FG,0.124
Election_2020,Dublin Bay North,Left,0.0575
Election_2020,Dublin Bay North,SF,0.1916
Election_2020,Dublin Bay South,All Others,0.2583
Election_2020,Dublin Bay South,FF,0.1416
Election_2020,Dublin Bay South,FG,0.228
Election_2020,Dublin Bay South,Left,0.2015
Election_2020,Dublin Bay South,SF,0.1706
Election_2020,Dublin Central,All Others,0.3573
Election_2020,Dublin Central,FF,0.1326
Election_2020,Dublin Central,FG,0.063
Election_2020,Dublin Central,Left,0.1265
Election_2020,Dublin Central,SF,0.3196
Election_2020,Dublin Fingal,All Others,0.3873
Election_2020,Dublin Fingal,FF,0.2616
Election_2020,Dublin Fingal,FG,0.128
Election_2020,Dublin Fingal,Left,0.0605
Election_2020,Dublin Fingal,SF,0.1626
Election_2020,Dublin Mid-West,All Others,0.2843
Election_2020,Dublin Mid-West,FF,0.1886
Election_2020,Dublin Mid-West,FG,0.19
Election_2020,Dublin Mid-West,Left,0.0345
Election_2020,Dublin Mid-West,SF,0.3026
Election_2020,Dublin North-West,All Others,0.1483
Election_2020,Dublin North-West,FF,0.1546
Election_2020,Dublin North-West,FG,0.052
Election_2020,Dublin North-West,Left,0.2985
Election_2020,Dublin North-West,SF,0.3466
Election_2020,Dublin Rathdown,All Others,0.3793
Election_2020,Dublin Rathdown,FF,0.1296
Election_2020,Dublin Rathdown,FG,0.233
Election_2020,Dublin Rathdown,Left,0.1125
Election_2020,Dublin Rathdown,SF,0.1456
Election_2020,Dublin South-Central,All Others,0.3873
Election_2020,Dublin South-Central,FF,0.1536
Election_2020,Dublin South-Central,FG,0.07
Election_2020,Dublin South-Central,Left,0.0815
Election_2020,Dublin South-Central,SF,0.3086
Election_2020,Dublin South-West,All Others,0.4673
Election_2020,Dublin South-West,FF,0.1696
Election_2020,Dublin South-West,FG,0.146
Election_2020,Dublin South-West,Left,0
Election_2020,Dublin South-West,SF,0.2186
Election_2020,Dublin West,All Others,0.3293
Election_2020,Dublin West,FF,0.1916
Election_2020,Dublin West,FG,0.15
Election_2020,Dublin West,Left,0.1095
Election_2020,Dublin West,SF,0.2196
Election_2020,Dún Laoghaire,All Others,0.3093
Election_2020,Dún Laoghaire,FF,0.2146
Election_2020,Dún Laoghaire,FG,0.287
Election_2020,Dún Laoghaire,Left,0.0615
Election_2020,Dún Laoghaire,SF,0.1286
Election_2020,Galway East,All Others,0.3063
