web.scraper.start.url,Constituency
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=1&electype=1,Carlow–Kilkenny
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=2&electype=1,Cavan–Monaghan
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=3&electype=1,Clare
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=5&electype=1,Cork North–Central
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=6&electype=1,Cork North–West
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=7&electype=1,Cork South–Central
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=8&electype=1,Cork South–West
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=52&electype=1,Donegal<
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=11&electype=1,Dublin Bay North
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=12&electype=1,Dublin Bay South
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=13&electype=1,Dublin Central
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=26&electype=1,Dún Laoghaire
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=14&electype=1,Dublin Fingal
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=15&electype=1,Dublin Mid–West
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=19&electype=1,Dublin North–West
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=20&electype=1,Dublin Rathdown
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=22&electype=1,Dublin South–Central
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=24&electype=1,Dublin South–West
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=25&electype=1,Dublin West
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=27&electype=1,Galway East
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=28&electype=1,Galway West
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=53&electype=1,Kerry
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=31&electype=1,Kildare North
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=32&electype=1,Kildare South
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=33&electype=1,Laois
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=36&electype=1,Limerick City
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=37&electype=1,Limerick County
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=38&electype=1,Longford–Westmeath
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=39&electype=1,Louth
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=40&electype=1,Mayo
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=41&electype=1,Meath East
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=42&electype=1,Meath West
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=43&electype=1,Offaly
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=44&electype=1,Roscommon–Galway
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=54&electype=1,Sligo–Leitrim
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=55&electype=1,Tipperary
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=49&electype=1,Waterford
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=50&electype=1,Wexford
http://www.irelandelection.com/electiondetail.php?elecid=231&constitid=51&electype=1,Wicklow
