date,cycle,FF,FF_lo,FF_hi,FG,FG_lo,FG_hi,LAB,LAB_lo,LAB_hi,PD,PD_lo,PD_hi,WP,WP_lo,WP_hi,OTH,OTH_lo,OTH_hi,GP,GP_lo,GP_hi,DL,DL_lo,DL_hi,SF,SF_lo,SF_hi,SD,SD_lo,SD_hi,SPBP,SPBP_lo,SPBP_hi
17/02/1987,1987-1989,0.4409,0.4408,0.4409,0.271,0.2709,0.271,0.064,0.064,0.0641,0.118,0.118,0.1181,0.038,0.038,0.0381,0.068,0.068,0.0681,,,,,,,,,,,,,,,
18/02/1987,1987-1989,0.4412,0.4326,0.4492,0.2714,0.2608,0.2817,0.0641,0.0602,0.0683,0.1186,0.111,0.1267,0.0382,0.0356,0.0408,0.0665,0.0577,0.0766,,,,,,,,,,,,,,,
19/02/1987,1987-1989,0.4416,0.4295,0.4535,0.2709,0.2547,0.2858,0.0641,0.0589,0.0699,0.1192,0.1086,0.1302,0.0385,0.0347,0.0426,0.0657,0.0535,0.0805,,,,,,,,,,,,,,,
20/02/1987,1987-1989,0.4423,0.4278,0.4564,0.271,0.2532,0.2879,0.0642,0.058,0.0708,0.1198,0.1068,0.1332,0.0386,0.0342,0.0434,0.0642,0.0506,0.0804,,,,,,,,,,,,,,,
21/02/1987,1987-1989,0.4429,0.426,0.4583,0.2707,0.2505,0.2892,0.0642,0.0567,0.0722,0.1204,0.1054,0.1349,0.0388,0.0337,0.0443,0.063,0.0475,0.0808,,,,,,,,,,,,,,,
22/02/1987,1987-1989,0.443,0.4229,0.4607,0.2706,0.249,0.2925,0.0643,0.0563,0.0732,0.1208,0.1037,0.1379,0.0389,0.0334,0.0451,0.0623,0.0453,0.0825,,,,,,,,,,,,,,,
23/02/1987,1987-1989,0.4433,0.4243,0.4621,0.2708,0.2474,0.2953,0.0643,0.0554,0.0735,0.1215,0.1034,0.1402,0.0392,0.033,0.0457,0.0609,0.0426,0.0824,,,,,,,,,,,,,,,
24/02/1987,1987-1989,0.4436,0.4239,0.4631,0.2709,0.2454,0.2979,0.0644,0.0552,0.0743,0.122,0.102,0.1425,0.0393,0.0329,0.0469,0.0598,0.0407,0.0826,,,,,,,,,,,,,,,
25/02/1987,1987-1989,0.444,0.4235,0.4654,0.2708,0.2441,0.2993,0.0645,0.055,0.0759,0.1227,0.1018,0.1442,0.0395,0.0326,0.0473,0.0584,0.0379,0.0815,,,,,,,,,,,,,,,
26/02/1987,1987-1989,0.4445,0.4217,0.4677,0.2707,0.2431,0.3011,0.0647,0.055,0.077,0.1233,0.1023,0.1465,0.0398,0.0323,0.0484,0.0571,0.0358,0.0808,,,,,,,,,,,,,,,
27/02/1987,1987-1989,0.4449,0.4212,0.4674,0.2707,0.2415,0.3035,0.0649,0.0551,0.0782,0.1237,0.102,0.1474,0.04,0.0325,0.0491,0.056,0.0343,0.0805,,,,,,,,,,,,,,,
28/02/1987,1987-1989,0.4452,0.4209,0.4686,0.2707,0.2402,0.303,0.0649,0.0542,0.0787,0.1242,0.1013,0.148,0.0402,0.0325,0.0493,0.0548,0.0333,0.0816,,,,,,,,,,,,,,,
01/03/1987,1987-1989,0.4454,0.4203,0.471,0.2709,0.2384,0.303,0.065,0.0544,0.0791,0.1248,0.1014,0.1499,0.0404,0.0324,0.0495,0.0536,0.0317,0.0809,,,,,,,,,,,,,,,
02/03/1987,1987-1989,0.4458,0.4208,0.4723,0.2706,0.2375,0.3034,0.065,0.0542,0.0789,0.1253,0.1026,0.1522,0.0406,0.0327,0.0498,0.0528,0.0307,0.0802,,,,,,,,,,,,,,,
03/03/1987,1987-1989,0.446,0.4189,0.4736,0.2709,0.2373,0.3044,0.0651,0.0542,0.0793,0.1256,0.1019,0.1522,0.0408,0.0326,0.0504,0.0517,0.0301,0.0778,,,,,,,,,,,,,,,
04/03/1987,1987-1989,0.4465,0.419,0.4747,0.2706,0.2362,0.3049,0.0652,0.0544,0.0795,0.1262,0.1014,0.1543,0.041,0.0327,0.0507,0.0505,0.0283,0.0757,,,,,,,,,,,,,,,
05/03/1987,1987-1989,0.4469,0.4191,0.476,0.2706,0.2357,0.3057,0.0653,0.0542,0.0802,0.1266,0.1018,0.1548,0.0412,0.0329,0.0519,0.0494,0.0265,0.0754,,,,,,,,,,,,,,,
06/03/1987,1987-1989,0.4472,0.4193,0.476,0.2703,0.2344,0.3072,0.0654,0.0544,0.0797,0.1273,0.1034,0.1561,0.0413,0.033,0.052,0.0484,0.0264,0.0753,,,,,,,,,,,,,,,
07/03/1987,1987-1989,0.4475,0.4188,0.478,0.2702,0.2344,0.3081,0.0653,0.0538,0.0803,0.128,0.102,0.1562,0.0415,0.0327,0.0522,0.0475,0.0254,0.0733,,,,,,,,,,,,,,,
08/03/1987,1987-1989,0.4477,0.4186,0.4784,0.2703,0.2317,0.3102,0.0654,0.0544,0.0797,0.1285,0.1027,0.1591,0.0416,0.0329,0.0519,0.0465,0.0252,0.0706,,,,,,,,,,,,,,,
09/03/1987,1987-1989,0.448,0.42,0.4792,0.2702,0.2318,0.3073,0.0654,0.054,0.0802,0.129,0.1035,0.1602,0.0418,0.0329,0.0528,0.0457,0.0243,0.0699,,,,,,,,,,,,,,,
10/03/1987,1987-1989,0.4482,0.4199,0.479,0.27,0.2325,0.308,0.0655,0.0537,0.0804,0.1295,0.1033,0.1593,0.042,0.0329,0.0531,0.0448,0.0236,0.0685,,,,,,,,,,,,,,,
11/03/1987,1987-1989,0.4484,0.4194,0.4785,0.27,0.2312,0.3085,0.0655,0.0536,0.0808,0.1299,0.1018,0.1607,0.0422,0.0325,0.0537,0.0439,0.0228,0.0679,,,,,,,,,,,,,,,
12/03/1987,1987-1989,0.4485,0.4197,0.4783,0.2699,0.2312,0.3071,0.0655,0.0537,0.0815,0.1305,0.1023,0.161,0.0423,0.0325,0.0549,0.0432,0.0226,0.0663,,,,,,,,,,,,,,,
13/03/1987,1987-1989,0.4488,0.4211,0.4789,0.27,0.2327,0.3069,0.0655,0.0534,0.0808,0.1309,0.1046,0.1595,0.0425,0.0326,0.0549,0.0422,0.0215,0.0665,,,,,,,,,,,,,,,
14/03/1987,1987-1989,0.449,0.4216,0.4802,0.27,0.2318,0.3061,0.0656,0.0533,0.081,0.1313,0.1032,0.1608,0.0426,0.0324,0.0557,0.0415,0.0209,0.0663,,,,,,,,,,,,,,,
15/03/1987,1987-1989,0.4494,0.4227,0.4799,0.27,0.2313,0.3054,0.0656,0.0537,0.081,0.1317,0.1032,0.1613,0.0428,0.0332,0.0558,0.0406,0.0211,0.0649,,,,,,,,,,,,,,,
16/03/1987,1987-1989,0.4494,0.4228,0.4797,0.2701,0.2327,0.306,0.0656,0.0535,0.0805,0.1323,0.1047,0.1619,0.043,0.0333,0.0557,0.0397,0.0203,0.0633,,,,,,,,,,,,,,,
17/03/1987,1987-1989,0.4497,0.4223,0.48,0.2701,0.2324,0.3065,0.0656,0.0535,0.0815,0.1327,0.1056,0.1617,0.0432,0.0334,0.0556,0.0388,0.02,0.0618,,,,,,,,,,,,,,,
18/03/1987,1987-1989,0.4496,0.4215,0.4798,0.2703,0.2331,0.3058,0.0657,0.0538,0.0817,0.1333,0.1072,0.1645,0.0433,0.0336,0.0554,0.0378,0.0197,0.0593,,,,,,,,,,,,,,,
19/03/1987,1987-1989,0.4498,0.4223,0.4803,0.2703,0.2338,0.3054,0.0656,0.0527,0.0825,0.1339,0.1078,0.1651,0.0435,0.0338,0.0561,0.0368,0.0187,0.0579,,,,,,,,,,,,,,,
20/03/1987,1987-1989,0.4499,0.4227,0.4797,0.2703,0.2326,0.3048,0.0656,0.0528,0.0819,0.1345,0.1069,0.164,0.0437,0.0335,0.0557,0.036,0.018,0.0559,,,,,,,,,,,,,,,
21/03/1987,1987-1989,0.45,0.4246,0.4799,0.2704,0.2321,0.305,0.0656,0.0533,0.0825,0.135,0.1073,0.1653,0.0438,0.0336,0.0552,0.0351,0.0181,0.0552,,,,,,,,,,,,,,,
22/03/1987,1987-1989,0.4502,0.4249,0.4797,0.2704,0.2345,0.3027,0.0656,0.0536,0.0831,0.1355,0.1086,0.1656,0.0439,0.0341,0.0555,0.0344,0.0175,0.0541,,,,,,,,,,,,,,,
23/03/1987,1987-1989,0.4502,0.425,0.4797,0.2706,0.2346,0.3035,0.0655,0.0538,0.0821,0.1361,0.1084,0.1652,0.0441,0.0346,0.0561,0.0335,0.0171,0.0517,,,,,,,,,,,,,,,
24/03/1987,1987-1989,0.4505,0.4249,0.4797,0.2706,0.2373,0.3034,0.0654,0.0534,0.0814,0.1366,0.1084,0.1662,0.0443,0.0349,0.0561,0.0327,0.0171,0.0509,,,,,,,,,,,,,,,
25/03/1987,1987-1989,0.4506,0.424,0.4796,0.2706,0.2377,0.3017,0.0653,0.0532,0.0798,0.1372,0.1109,0.1642,0.0444,0.0354,0.0561,0.032,0.0173,0.0494,,,,,,,,,,,,,,,
26/03/1987,1987-1989,0.4508,0.4241,0.4794,0.2705,0.2374,0.3005,0.0652,0.0535,0.0794,0.1378,0.1121,0.1648,0.0446,0.0354,0.0559,0.0312,0.0167,0.0476,,,,,,,,,,,,,,,
27/03/1987,1987-1989,0.451,0.4261,0.4795,0.2704,0.2386,0.3004,0.0651,0.0538,0.0795,0.1383,0.1149,0.1652,0.0448,0.0354,0.0565,0.0304,0.0165,0.0455,,,,,,,,,,,,,,,
28/03/1987,1987-1989,0.4511,0.4271,0.478,0.2704,0.2392,0.2996,0.065,0.054,0.0787,0.1387,0.1163,0.1639,0.0449,0.0357,0.0562,0.0298,0.0165,0.0438,,,,,,,,,,,,,,,
29/03/1987,1987-1989,0.4514,0.4283,0.478,0.2703,0.2407,0.2983,0.065,0.0542,0.0773,0.1391,0.1175,0.1627,0.0451,0.036,0.0561,0.0291,0.0169,0.0429,,,,,,,,,,,,,,,
30/03/1987,1987-1989,0.4516,0.429,0.4759,0.2703,0.243,0.2969,0.0649,0.0547,0.0767,0.1396,0.1184,0.1644,0.0453,0.0366,0.0559,0.0283,0.0165,0.0415,,,,,,,,,,,,,,,
31/03/1987,1987-1989,0.4516,0.4293,0.4748,0.2701,0.2441,0.2962,0.0648,0.0546,0.0769,0.1404,0.1203,0.1623,0.0454,0.0374,0.0554,0.0277,0.0165,0.0399,,,,,,,,,,,,,,,
01/04/1987,1987-1989,0.4516,0.4303,0.4734,0.27,0.247,0.2945,0.0646,0.0547,0.0762,0.1409,0.1226,0.1609,0.0456,0.0373,0.0553,0.0272,0.0167,0.0389,,,,,,,,,,,,,,,
02/04/1987,1987-1989,0.4516,0.4311,0.4713,0.2699,0.2487,0.2932,0.0647,0.0549,0.0756,0.1414,0.1246,0.1592,0.0458,0.0376,0.0552,0.0266,0.0167,0.037,,,,,,,,,,,,,,,
03/04/1987,1987-1989,0.4519,0.4326,0.4703,0.2699,0.2495,0.2926,0.0645,0.0553,0.0742,0.1417,0.127,0.1565,0.046,0.0378,0.0552,0.026,0.0173,0.0352,,,,,,,,,,,,,,,
04/04/1987,1987-1989,0.4507,0.4303,0.4707,0.2711,0.2488,0.2944,0.0642,0.0546,0.0747,0.1418,0.1257,0.1595,0.046,0.0376,0.0557,0.0261,0.017,0.0361,,,,,,,,,,,,,,,
